name case elements bits cycles soft-speed(KHZ) total-gates useful-gates FPGAs v-cycles hard-clk(MHZ) hard-speed(KHZ) speedup per-FPGA
Bheap 2_32_scan 3 32 2 161.6 4691 3356 11 9 2.778 1389 8.593 0.7812
Bheap 4_32_scan 15 32 4 107.1 26730 17745 42 10 2.5 625 5.837 0.139
Bheap 6_32_scan 63 32 6 39.17 120602 75117 64 13 1.923 320.5 8.183 0.1279
Bheap 8_32_scan 255 32 8 11.76 530574 304594 238 19 1.316 164.5 13.98 0.05874
Bubblesort 004_32_scan 2 32 2 152.8 5460 4125 11 9 2.778 1389 9.087 0.8261
Bubblesort 064_32_scan 32 32 32 6.152 91177 67942 61 18 1.389 43.4 7.055 0.1157
Bubblesort 256_32_scan 128 32 128 0.4135 370980 271880 128 25 1 7.812 18.89 0.1476
Bubblesort 512_32_scan 256 32 256 0.103 747544 543774 308 25 1 3.906 37.91 0.1231
DES 01_scan 1 64 18 85.42 10912 8607 15 9 2.778 154.3 1.807 0.1204
DES 04_scan 4 64 18 37.25 44517 31377 49 14 1.786 99.21 2.663 0.05435
DES 48_scan 48 64 18 4.032 604022 365337 216 20 1.25 69.44 17.22 0.07974
FFT 04_scan 8 3 4 81.55 3748 2413 11 9 2.778 694.4 8.515 0.7741
FFT 16_scan 48 9 6 15.12 60685 48370 50 9 2.778 463 30.63 0.6126
FFT 32_scan 112 17 7 6.24 316162 229862 136 26 0.9615 137.4 22.01 0.1619
Intmatmul 02_8_scan 4 8 2 28.23 3069 2259 14 6 4.167 2083 73.8 5.272
Intmatmul 04_8_scan 16 8 4 18.85 9896 8176 19 8 3.125 781.2 41.44 2.181
Intmatmul 08_8_scan 64 8 8 6.683 43785 31635 41 11 2.273 284.1 42.51 1.037
Intmatmul 16_8_scan 256 8 16 1.138 178805 124890 64 20 1.25 78.12 68.66 1.073
Jacobi 04_04_08_64_scan 16 8 1 671.3 3488 2768 11 7 3.571 3571 5.32 0.4837
Jacobi 08_08_08_64_scan 64 8 1 95.89 21861 15376 35 8 3.125 3125 32.59 0.9311
Jacobi 16_16_08_64_scan 256 8 1 18.76 115464 74384 63 12 2.083 2083 111 1.763
Jacobi 32_32_08_64_scan 1024 8 1 4.102 566763 327568 218 14 1.786 1786 435.3 1.997
Jacobi 32_64_08_64_scan 2048 8 1 2.023 1135384 670864 320 16 1.562 1562 772.3 2.413
Life 032_1_64_scan 1 1 1 78.94 6180 4600 15 10 2.5 2500 31.67 2.111
Life 032_6_64_scan 6 1 1 20.89 41790 36400 28 11 2.273 2273 108.8 3.885
Life 064_16_64_scan 32 1 1 4.393 231542 201612 97 10 2.5 2500 569.1 5.868
Life 096_16_64_scan 48 1 1 2.944 354304 302924 196 11 2.273 2273 772 3.939
Life 64_64_64_scan 128 1 1 1.16 976485 820140 312 14 1.786 1786 1540 4.935
Mergesort 008_32_scan 15 32 10 79.41 14398 10423 17 8 3.125 312.5 3.935 0.2315
Mergesort 064_32_scan 127 32 69 24.96 154842 89327 64 19 1.316 19.07 0.7641 0.01194
Mergesort 256_32_scan 511 32 263 6.377 653115 359855 284 23 1.087 4.133 0.6481 0.002282
Nqueens 08_223_scan 64 1 2 150.8 3063 2413 13 7 3.571 1786 11.84 0.9106
Nqueens 16_1_scan 256 1 2 140.9 12852 8682 19 10 2.5 1250 8.871 0.4669
Nqueens 32_1_scan 1024 1 2 125.5 67547 33592 48 22 1.136 568.2 4.526 0.09429
Nqueens 64_1_scan 4096 1 2 102.7 358841 133991 126 52 0.4808 240.4 2.341 0.01858
